AREA_NAME,LOCATION_NAME,count
ISANDO AREA,ELANDSFONTEIN SDG.CHEVRON S.A,99
ISANDO AREA,GERMISTON SDG.ILLOVO SUGAR LTD,49
ISANDO AREA,GERMISTON SDG.TONGAAT HULLETT,17
ISANDO AREA,KAALFONTEIN SDG.AFGRI OPERATIO,9
JOHANNESBURG AREA,NATALSPRUIT SDG.NZENGA INVESTM,458
JOHANNESBURG AREA,JUPITER SDG.PRETORIA PORTLAND,435
JOHANNESBURG AREA,NATALSPRUIT SDG.SOUTHERN ASS.M,426
JOHANNESBURG AREA,KLIPRIVIER SDG.EVERITE BUILDIN,166
JOHANNESBURG AREA,UNION SDG.SCAW METALS,164
JOHANNESBURG AREA,ROOIKOP SDG.AFRICAN OXYGEN LIMITED,53
JOHANNESBURG AREA,NATALSPRUIT SDG.BOTSWANA ASH,35
JOHANNESBURG AREA,SPRUYTSRUS,22
JOHANNESBURG AREA,STANDERTON,13
JOHANNESBURG AREA,NATALSPRUIT SDG.PUREGAS PTY LTD,6
JOHANNESBURG AREA,HEIDELBERG GAUTENG,3
JOHANNESBURG AREA,NATALSPRUIT,2
JOHANNESBURG AREA,NATALSPRUIT SDG.SHELL S.A MARKETING,1
KASCON CONT.ARE,KAZCON CX,1117
KIMBERLEY AREA,MODDERRIVIER SDG.GWK BEPERK,406
KIMBERLEY AREA,BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,126
KIMBERLEY AREA,ULCO SDG.AFRISAM SOUTH AFRICA,126
KIMBERLEY AREA,BELMONT,98
KIMBERLEY AREA,LIME ACRES SDG.PPC CEMENT LIMI,25
KIMBERLEY AREA,BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,21
KIMBERLEY AREA,DOUGLAS SDG.HIGHVELD STEEL AND,17
KIMBERLEY AREA,MACFARLANE,16
KIMBERLEY AREA,BEACONSFIELD,15
KIMBERLEY AREA,KOOPMANSFONTEIN,12
KIMBERLEY AREA,BEACONSFIELD SDG.EASIGAS PTY L,5
KINGS REST AREA,KING'S REST PORTNET CONT.DNR,1963
KINGS REST AREA,KING'S REST PIER 1,1507
KINGS REST AREA,KING'S REST BUFFER STACK,35
KINGS REST AREA,KING'S REST SDG.S.A CONTAINER DEPOTS,24
KROONSTAD AREA,ROOIWAL SDG.SENWES BEPERK,37
KROONSTAD AREA,GUNHILL SDG.SHELL S.A,27
KROONSTAD AREA,WESSELSBRON,20
KROONSTAD AREA,FRIEDESHEIM SDG.HARMONY GOLD MINING CO L,7
KROONSTAD AREA,GUNHILL SDG.ENGEN PETROLEUM LI,6
KROONSTAD AREA,KROONSTAD SDG.SENWES BEPERK 1,6
KROONSTAD AREA,KROONSTAD REPAIR SIDING,1
KROONSTAD AREA,WESSELSBRON SDG.OMNIA GROUP PT,1
KRUGERSDORP AREA,ROBINSON SDG.TIGER MILLING AND FEEDS,223
KRUGERSDORP AREA,TARLTON DEPT.SIDING PETRONET,17
KRUGERSDORP AREA,SYFERBULT,17
KRUGERSDORP AREA,ROODEPOORT SDG.AFRISAM SOUTH AFRICA LTD,14
KRUGERSDORP AREA,KRUGERSDORP DEPT.SIDING 8297,9
LICHTENBURG AREA,RIETGAT SDG.AFRISAM SOUTH AFRI,890
LICHTENBURG AREA,SLURRY SDG.PRETORIA PORTLAND C,372
LICHTENBURG AREA,COLIGNY,43
LICHTENBURG AREA,LICHTENBURG SDG.LAFARGE SOUTH,22
LICHTENBURG AREA,SWARTRUGGENS,6
MASCON CONT.AREA,MASCON,256
NELSPRUIT AREA,NGODWANA SDG.SAPPI LIMITED,3125
NELSPRUIT AREA,PHALABORWA SDG.FOSKOR LIMITED,1597
NELSPRUIT AREA,PHALABORWA SDG.PHALABORWA MINI,1149
NELSPRUIT AREA,KOMATIPOORT SDG.TSB KOMATI MILL,237
NELSPRUIT AREA,WATERVAL BOVEN,197
NELSPRUIT AREA,KOMATIPOORT LOCO,161
NELSPRUIT AREA,KAAPMUIDEN,137
NELSPRUIT AREA,PHALABORWA SDG.FARMERS WORLD L,132
NELSPRUIT AREA,HAZYVIEW,114
NELSPRUIT AREA,NELSPRUIT SDG.MANGANESE METAL COMPANY,95
NELSPRUIT AREA,PHALABORWA,81
NELSPRUIT AREA,NELSPRUIT,37
NELSPRUIT AREA,MALELANE,21
NELSPRUIT AREA,AIRLIE,15
NELSPRUIT AREA,KOMATIPOORT,10
NELSPRUIT AREA,KOMATIPOORT TERREIN,10
NELSPRUIT AREA,NGODWANA,5
NELSPRUIT AREA,ROCKY DRIFT SDG.SHELL SOUTH AF,2
NELSPRUIT AREA,IMPALA,2
NELSPRUIT AREA,HOEDSPRUIT,1
NELSPRUIT AREA,KOMATIPOORT REPAIR DEPOT,1
NELSPRUIT AREA,GOEDGELUK,1
NELSPRUIT AREA,PHALABORWA OPERATIONAL,1
NELSPRUIT AREA,NELSPRUIT LOCO,1
NELSPRUIT AREA,NELSPRUIT SDG.TOTAL SOUTH AFRICA,1
NEWCASTLE AREA,NEWCASTLE SDG.ARCELORMITTAL S.A LTD,3080
NEWCASTLE AREA,NEWCASTLE SDG.NPC CIMCOR PTY LTD,1047
NEWCASTLE AREA,NGAGANE DEPT.SIDING OSHO SA ST,937
NEWCASTLE AREA,TALANA SDG.BUFFALO COAL PTY LT,199
